fecha,sexo,ciudad,nivel_educativo,segmento,estado_civil,edad,altura_cm,ingresos,gasto_mensual,puntuacion_credito,demanda
2024-02-17,F,Cali,Técnico,B,,62.0,161.45924551605893,4098.167251528406,,,119.15891154315663
2024-02-18,F,Cali,Universitario,B,Soltero/a,52.0,165.34872276124239,1486.482730467496,,572.5555705806985,104.43271575273212
2024-02-19,F,Bogotá,Universitario,C,,56.0,,3226.864758298263,,,128.22864410000403
2024-02-20,M,,Secundaria,B,Soltero/a,58.0,167.69639179479722,3633.7774938281873,1627.185110566243,566.9633255458862,107.500111918572
2024-02-21,F,Medellín,Universitario,C,Casado/a,47.0,181.2812400346364,,,,116.7255550367545
2024-02-22,M,Bogotá,Secundaria,B,Soltero/a,64.0,162.7270247218695,5277.073025881037,2206.2029680783676,,118.13847114037827
2024-02-23,M,Bogotá,Universitario,B,Casado/a,66.0,187.76098530377737,5152.137745609417,1892.4025334030605,412.8459383466702,
2024-02-24,M,,Secundaria,B,Casado/a,63.0,160.49786944348182,4407.38818821678,,,120.02182733583443
2024-02-25,M,Medellín,Secundaria,B,Unión libre,53.0,163.46780775354227,3579.391041400446,,,99.87582759564407
2024-02-26,F,Bogotá,Técnico,B,Unión libre,23.0,170.48390783861421,3168.430283356546,2011.5204076285154,,123.8928633648613
2024-02-27,M,Bogotá,Secundaria,B,Casado/a,33.0,169.81129470232338,3543.6455082919247,1583.9879837336302,,118.00721840636083
2024-02-28,M,Medellín,Técnico,B,,65.0,170.27389078245494,3531.0525534471567,1562.3708127142345,580.1311904635455,
2024-02-29,F,Medellín,Posgrado,C,Casado/a,40.0,155.68064966524705,4165.063056497409,1759.5585291187508,714.5872802788068,134.64501702271573
2024-03-01,M,Barranquilla,Universitario,A,Casado/a,47.0,,4239.291303886653,,557.1576042843127,131.23105586129572
2024-03-02,F,Medellín,Secundaria,B,Casado/a,39.0,,4048.704397549701,1952.2242401714568,495.42171289664606,130.50502644475526
2024-03-03,F,Medellín,,A,,63.0,149.18564236568304,4703.163052615904,2456.276173750207,727.7345618583647,136.50771665152422
2024-03-04,F,Bogotá,Universitario,B,Casado/a,26.0,166.4231103709621,2588.737404826671,817.5563079180513,,133.96058724510655
2024-03-05,M,Cali,Universitario,B,Casado/a,35.0,160.81213494890218,,860.377939419498,,128.13444791666248
2024-03-06,M,Bogotá,,C,Soltero/a,55.0,162.17258795672223,3955.864584466392,,663.061488337249,135.88403839766752
2024-03-07,M,Bogotá,Universitario,,Casado/a,62.0,159.53915416047397,5143.998939273591,1898.7873179357603,510.7480408899887,142.05592371120417
2024-03-08,F,Bogotá,Secundaria,B,Casado/a,54.0,163.69860102194312,3402.98302984155,1895.7950817693586,601.1042576980883,
2024-03-09,F,Cartagena,,B,Soltero/a,20.0,169.09505234401465,3882.1594553950613,2073.099362203604,,140.2408428201552
2024-03-10,F,,Secundaria,A,Unión libre,37.0,172.53519013552247,2692.1485461764523,,564.1390751534343,
2024-03-11,M,Bogotá,,A,,42.0,162.39269203689133,2849.0420176507205,1377.6363851057172,,133.34220055117376
2024-03-12,F,Medellín,Técnico,B,Casado/a,33.0,171.24756766697044,2646.2634869923763,1245.7893601433386,,148.47456593609422
2024-03-13,F,Bogotá,Universitario,C,Unión libre,21.0,,1883.2191916159218,,,137.51066773698793
2024-03-14,M,Bogotá,,B,Casado/a,38.0,152.83671433682935,4658.460532094203,1288.6292791206054,,124.35996428563978
2024-03-15,M,Cali,Secundaria,,Casado/a,40.0,170.49705995120118,4384.511187412926,2622.3808619228894,,131.27897843683496
2024-03-16,M,Barranquilla,Universitario,C,Soltero/a,68.0,178.74760882123712,3803.0647182981065,1691.7583597591615,,122.35905161645724
2024-03-17,M,Medellín,,A,,49.0,179.8245723977329,3463.8278146474013,1969.9590389008038,,126.32982623275657
2024-03-18,F,Cali,Universitario,C,Soltero/a,65.0,162.89831732539417,4796.015676293705,,,120.10531907192737
2024-03-19,M,Barranquilla,Universitario,C,,35.0,156.40263338384182,4332.423761610653,2067.3267554187696,760.3809527677862,
2024-03-20,F,Barranquilla,Posgrado,B,,25.0,163.2667644058162,764.7481472397353,229.88075679533063,571.4312143096021,118.38355116016967
2024-03-21,M,Barranquilla,Secundaria,B,Unión libre,21.0,166.62880853616002,4139.820312892525,1948.8779064543362,,125.31942939646909
2024-03-22,M,Bogotá,Técnico,B,,46.0,163.4302564300355,4017.4246289399744,1682.124181410531,,115.78957152239587
2024-03-23,F,Medellín,Posgrado,,,53.0,168.0776635775943,3908.95799154983,959.790288652529,551.5756336920643,
2024-03-24,M,Cali,Secundaria,B,Casado/a,51.0,157.19136502784156,3064.3097173881342,,573.4423938138904,109.37882990955615
2024-03-25,F,Cali,Secundaria,,Soltero/a,45.0,160.90978963045328,4187.003586218838,2155.042369934221,759.8628157994241,111.79602673816636
2024-03-26,F,Medellín,Secundaria,A,Casado/a,64.0,145.91778640901026,5616.916514405403,2663.965566492543,,112.86050603626924
2024-03-27,F,Medellín,Posgrado,B,Unión libre,66.0,170.85156850110056,4689.876413166213,2133.0351636668624,,121.87921080920502
2024-03-28,M,Medellín,Secundaria,B,Casado/a,27.0,159.8990106544935,2605.7088009620243,1111.9916251708134,657.8640402189226,125.77898686779271
2024-03-29,M,Medellín,,A,Casado/a,55.0,175.6051044261688,4558.524136018959,2217.0717497578103,,121.21165610877055
2024-03-30,F,Barranquilla,Secundaria,B,,60.0,166.90341962087786,3654.148035057469,,,131.19000972298738
2024-03-31,F,Cali,Universitario,C,,31.0,157.9825454016927,4105.691693105562,2068.8858019012846,599.2081276427668,133.6730085530904
2024-04-01,F,Bogotá,Técnico,B,Casado/a,43.0,,4359.407659443101,2282.6686174147585,,
2024-04-02,F,Cali,Técnico,,,29.0,175.17540070970966,,1705.4710004140675,,
2024-04-03,F,Medellín,Universitario,A,Unión libre,22.0,168.9146349493961,1403.0733085793127,,,138.71769048358797
2024-04-04,M,Medellín,Técnico,B,,61.0,175.09672362992512,3086.7370341628057,1378.2153681179204,749.8051399647986,143.26029980987119
2024-04-05,M,Barranquilla,Universitario,C,Soltero/a,66.0,167.54753704219763,4460.904244372405,2221.870194448157,,133.8501389629953
2024-04-06,M,,Secundaria,A,Unión libre,24.0,176.3004835325553,3078.552140068014,,664.3898196689468,137.44776240255857
2024-04-07,F,Cali,Universitario,C,Casado/a,37.0,,2774.6842054096314,,,141.68029367419547
2024-04-08,M,Cali,Universitario,A,Unión libre,24.0,172.88390834077424,,572.6148283289699,,132.68616712148747
2024-04-09,M,Bogotá,Secundaria,,Casado/a,41.0,172.33099115334457,2955.103759164342,1241.548809009027,493.0768404728772,146.04945123708225
2024-04-10,F,Cali,,C,,52.0,168.65719113765024,3044.0505981446104,,,133.33506839799634
2024-04-11,F,Bogotá,Técnico,B,Casado/a,69.0,166.94085370114234,3782.4063643740783,1642.16744487012,510.81998819592764,131.70861745189328
2024-04-12,F,Medellín,Secundaria,C,Casado/a,40.0,174.98108158898057,3800.120898928733,2001.0569872899403,660.8111192935099,136.3311556067183
2024-04-13,M,Medellín,Posgrado,A,Soltero/a,48.0,158.24393468610975,2537.83704241721,856.1530558917975,,130.56166208107535
2024-04-14,M,Medellín,Secundaria,B,Soltero/a,42.0,181.46107940870976,4641.569384309158,1849.9781446502718,,146.15780966439658
2024-04-15,F,Bogotá,,,Soltero/a,33.0,,3918.6592831889593,1645.868447128154,,109.61570210305516
2024-04-16,M,Bogotá,,,Casado/a,21.0,170.14976265490552,931.5636125390242,,588.5500745458397,
2024-04-17,M,Barranquilla,Técnico,B,Soltero/a,31.0,180.0066482417474,3479.1249967297363,1287.1131166005732,529.9962314611686,
2024-04-18,M,Cali,Universitario,,Soltero/a,60.0,163.2016538435001,3810.65306263027,1112.7992827421526,620.5358546213756,115.96170733125435
2024-04-19,F,Cali,Secundaria,B,Unión libre,42.0,170.78963424942242,3475.9425349219,1580.609258520741,623.2910317617165,123.31056420201523
2024-04-20,F,Medellín,,A,,,166.0056185590279,4240.20249232431,1808.9510866607027,483.11293228794216,
2024-04-21,M,Bogotá,Secundaria,B,,37.0,,4806.043348182911,,,110.38729648899208
2024-04-22,F,Barranquilla,Universitario,C,,43.0,168.0794366444481,4128.578450057171,1365.3077039924337,,113.766401368896
2024-04-23,M,Bogotá,Secundaria,,Soltero/a,46.0,169.63782611479914,3140.480621196175,1886.9603430105553,,129.06599296822705
2024-04-24,F,Cartagena,Técnico,,Unión libre,42.0,153.57808023884633,4410.68996586519,2164.276401894022,,
2024-04-25,F,Barranquilla,Universitario,A,Soltero/a,33.0,159.67235290460795,3829.7304536106376,1667.8497447568168,714.4564312838684,104.25543207907197
2024-04-26,M,Bogotá,Secundaria,B,Divorciado/a,30.0,171.29256723675272,,1127.9539316040002,,123.5125602659106
2024-04-27,F,Barranquilla,Técnico,B,,24.0,164.2284001428682,2457.0753261090745,1543.8084621601445,,131.3203470393077
2024-04-28,F,Cali,Universitario,B,Soltero/a,20.0,148.95507655564347,2226.696333603594,1277.9056768380788,,122.77125638204346
2024-04-29,F,Bogotá,Secundaria,B,Casado/a,19.0,169.87500797114782,2281.3387241444657,791.8749746796841,,119.51729179121571
2024-04-30,M,,Secundaria,B,Soltero/a,35.0,189.78336747673853,3590.3789229974554,1442.1697251972814,665.7152775031792,132.72385452466543
2024-05-01,F,Bogotá,Secundaria,B,Casado/a,32.0,155.94091593553796,4679.237995888901,,706.303116346968,127.38191249889834
2024-05-02,F,Medellín,Técnico,B,Soltero/a,26.0,181.1027599811037,3755.570733430046,1930.266266385921,,136.0447874076377
2024-05-03,M,Cali,Posgrado,B,Divorciado/a,43.0,164.7204265869929,3787.529497971356,1694.6579272632341,,137.13468061616626
2024-05-04,M,Medellín,,C,,24.0,170.08243093218402,3981.0476856181153,1521.0407971280354,544.261563563418,
2024-05-05,M,Cali,Universitario,A,,29.0,167.82668156320517,1732.6977398140764,,591.0886530925521,133.79270233371844
2024-05-06,M,Cali,Posgrado,A,,65.0,170.61653170222402,3931.074863728535,1479.2214626014406,,147.44984050431415
2024-05-07,,Medellín,Técnico,B,Soltero/a,56.0,,4437.487379915362,,,145.21382295125449
2024-05-08,F,Barranquilla,Secundaria,A,Soltero/a,38.0,179.17697403082028,4766.642894989556,1963.6631340474275,684.5265454737984,
2024-05-09,M,,,C,Unión libre,29.0,,4071.246948205444,,,133.22377708923338
2024-05-10,F,Cali,Técnico,A,Casado/a,62.0,152.8623180419639,,1828.2670172122248,584.9875977574085,137.04423579010964
2024-05-11,F,Medellín,,C,Soltero/a,50.0,160.16193862293977,4408.162932195375,,,
2024-05-12,M,Bogotá,Secundaria,B,,43.0,168.23150124617217,3005.494558418144,1709.0105302386917,531.3430834061531,132.24475495275811
2024-05-13,F,Cali,Técnico,B,Soltero/a,22.0,159.81585763768248,3199.3099458600554,1807.69688334568,660.964042221171,138.13836573972725
2024-05-14,M,Barranquilla,Universitario,B,Soltero/a,26.0,173.5253612975135,3762.1496010717797,2275.463013247527,623.7178710009775,
2024-05-15,F,Barranquilla,Posgrado,B,Soltero/a,65.0,147.02811743149846,4323.742631187436,1876.5601658977755,,125.09806690056041
2024-05-16,F,Medellín,Secundaria,B,Soltero/a,18.0,163.632874620278,2992.093435684282,754.3877198640552,699.5421210537947,131.79415931187387
2024-05-17,F,Medellín,Secundaria,,Unión libre,,175.2276899956462,1639.7775188785324,686.2651877487011,402.41084423290977,
2024-05-18,F,Barranquilla,,B,,,165.87737656302903,,,,128.49043604465604
2024-05-19,F,Medellín,Secundaria,B,,24.0,171.88797987516458,3644.658139336366,1845.8949091421005,,119.56336081168452
2024-05-20,M,Barranquilla,Secundaria,A,Soltero/a,18.0,173.66185718929793,4158.427029433635,1849.7376439613124,542.7091839794194,115.52521092983166
2024-05-21,F,Cartagena,Secundaria,B,Soltero/a,40.0,158.6452195162252,2623.3770176253174,1388.9014778992898,698.2163234159602,120.27626480247613
2024-05-22,F,Medellín,,,Divorciado/a,18.0,186.4606770745311,2371.1006838537974,1346.7417199766314,,121.73663981891924
2024-05-23,M,Cali,Secundaria,B,,32.0,,2874.503454218109,1064.5435868285613,488.70036965682846,126.97192741438928
2024-05-24,F,Cartagena,Secundaria,,Casado/a,,,,,,121.94700140982488
2024-05-25,F,,,B,Unión libre,20.0,175.40522929771183,2120.8398802079764,622.0973786056982,459.44079740952435,121.71752334778463
2024-05-26,M,Cartagena,Secundaria,C,,65.0,152.4091401985778,4800.1413614834155,2015.6765287318203,688.8436313232918,
2024-05-27,F,Cali,Técnico,C,Unión libre,30.0,177.71242478791922,895.9872201888556,,433.5708536277417,
2024-05-28,F,Barranquilla,Técnico,B,Casado/a,20.0,184.03889552215404,1262.2770378315504,,634.6930605855487,122.13341548070373
2024-05-29,M,Cartagena,Universitario,B,Casado/a,35.0,162.87305316862614,3059.9533566080954,916.1861125884564,,
2024-05-30,,Cartagena,Secundaria,B,Casado/a,22.0,164.38945745676193,,1042.4613154801698,496.34732461366184,125.21263895950534
2024-05-31,M,Barranquilla,Universitario,,,49.0,149.06840976271891,,,534.6440077008044,134.5699012280697
2024-06-01,M,Bogotá,Secundaria,B,,29.0,158.36917745926655,873.2464352080528,426.80868514909787,597.4638013509986,
2024-06-02,F,Medellín,Técnico,C,,49.0,184.99768340448722,4506.073236573369,2000.2724038810823,,138.6389828920779
2024-06-03,F,,Secundaria,,Soltero/a,42.0,167.52865986751848,3401.154047837946,1931.4622270053496,540.5570131841349,138.06122429434583
2024-06-04,F,Bogotá,Universitario,B,Soltero/a,32.0,176.3196520139189,4580.212035179474,1562.4889007871525,,137.22261157562053
2024-06-05,F,Bogotá,Universitario,,Casado/a,69.0,175.34865241101716,,2594.9975559220784,554.0848080090612,139.9964943263749
2024-06-06,M,Medellín,Posgrado,C,Casado/a,49.0,160.36131410886279,3922.4553870816208,2287.5962656656275,,
2024-06-07,F,Cali,Posgrado,A,Unión libre,23.0,160.85920384115028,,1655.3684146637972,573.8524946834257,135.5223872203585
2024-06-08,F,Medellín,Técnico,B,,49.0,150.68603639883708,2543.021880521347,,,138.35829896521844
2024-06-09,M,Cartagena,Posgrado,,Soltero/a,26.0,161.4343983793035,4111.509755368609,,606.4065142079428,145.31570862430243
2024-06-10,F,Bogotá,Universitario,B,,25.0,178.09063784820518,3327.83037808982,1341.4435195584235,603.7034911441862,140.94038038507475
2024-06-11,F,Cali,Técnico,B,Casado/a,51.0,161.45624179429575,4747.473029319799,2311.676617658703,583.9734093881489,145.35842708419818
2024-06-12,F,Medellín,Secundaria,,Casado/a,,163.98174316732425,3209.556416428998,1303.703756924609,660.4000312838833,137.88283701774478
2024-06-13,F,Cali,Técnico,B,Divorciado/a,58.0,156.80399658373173,,1141.8086704756902,,130.49269484462064
2024-06-14,F,Bogotá,Secundaria,A,Soltero/a,19.0,,,,,
2024-06-15,F,Cali,,C,Soltero/a,49.0,159.72106963265267,5469.9159616060215,,602.0445321624089,122.91161971836117
2024-06-16,M,Cali,,C,,55.0,178.59451191417676,,1617.3493277116759,592.7653692710168,126.87311789814247
2024-06-17,F,Barranquilla,Técnico,B,Casado/a,45.0,165.31435250538078,2765.3296940953387,1412.8538762578169,,119.49489718281751
2024-06-18,M,Cali,Secundaria,B,,51.0,157.85915452578033,2485.42073686363,1660.1361920805712,565.4545169484597,118.405055403953
2024-06-19,M,Barranquilla,Técnico,B,Soltero/a,37.0,157.48958973903385,3189.3819197526054,1574.7362558147918,588.3542034961629,123.65646074860128
2024-06-20,F,Bogotá,Posgrado,,Unión libre,67.0,181.21575892171617,3827.618795710476,1325.7664261158752,,112.87237257471699
2024-06-21,F,Medellín,Secundaria,B,,39.0,156.24206686255647,4169.407995244429,,799.7171639090977,122.23512202246387
2024-06-22,F,Medellín,Universitario,B,Unión libre,19.0,169.78773464523653,1978.9023727887989,832.7814482564862,519.6883649219984,117.18350485025861
2024-06-23,M,Bogotá,Secundaria,B,,21.0,171.07126718815613,3694.9407930391662,2137.867620332635,726.0666048549865,120.17980592588319
2024-06-24,M,Bogotá,Universitario,B,,36.0,179.4310090355712,3534.7318288400766,,662.942720195506,120.83384087750136
2024-06-25,F,Barranquilla,,A,,69.0,175.2235708063268,5510.835204994861,2641.097048570279,,122.71409928722679
2024-06-26,M,Bogotá,Técnico,,,30.0,161.65712725655052,3663.785294754555,1867.3580504711704,516.7301136506835,
2024-06-27,M,Barranquilla,,B,,23.0,164.08521242484244,4117.5787812172075,,533.2885932873916,121.43868237142587
2024-06-28,F,Cartagena,Técnico,B,Casado/a,52.0,164.7788762342831,4690.67024398252,,669.4174008934577,132.64481996657693
2024-06-29,M,Cartagena,Universitario,A,Casado/a,65.0,172.52903398683634,2686.6589369643325,1723.2549381914325,,130.46902448216173
2024-06-30,M,Bogotá,Secundaria,,Divorciado/a,66.0,186.27260419854937,4060.073611436809,2032.2949954741239,,
2024-07-01,F,Cartagena,Posgrado,C,Soltero/a,52.0,179.67771451859562,5582.76267268405,2849.9582795940373,617.2992459686255,140.90049910773612
2024-07-02,F,Bogotá,Universitario,B,Casado/a,43.0,181.50512743178479,3683.6395932226824,,600.6839095509057,137.28717369767273
2024-07-03,F,Barranquilla,,B,,23.0,156.883646750015,,1491.634532638148,,143.21787596730712
2024-07-04,F,Barranquilla,Universitario,A,Soltero/a,47.0,164.60469274688757,4617.3634638121275,1776.1544981370698,,134.17513956245546
2024-07-05,F,,Secundaria,B,Soltero/a,23.0,173.81909370982595,3559.5216375289056,1272.703919978522,719.0077051570291,147.31056239290305
2024-07-06,,Medellín,Universitario,,,69.0,162.5011688213669,4197.575513535744,1554.075026241927,,148.90378633913247
2024-07-07,F,Bogotá,Secundaria,C,Casado/a,,163.6619486366875,4076.3520983558933,,756.1382870501582,152.47705993807017
2024-07-08,F,Cali,Técnico,A,,39.0,177.73393819493324,4579.227848748581,1888.4748824567812,596.5260936883166,158.0047798496873
2024-07-09,M,Barranquilla,Universitario,,Unión libre,41.0,158.7701081866589,4616.740681047669,2282.6554078167514,,145.66578576069833
2024-07-10,F,Medellín,Secundaria,B,Soltero/a,28.0,150.15750457398684,1858.9118997100024,,623.755022746532,155.65172612395654
2024-07-11,F,Medellín,Secundaria,B,Soltero/a,63.0,165.15101984562642,6873.412902192802,3187.383960006643,441.36311051406506,148.20410091392978
2024-07-12,M,Barranquilla,Posgrado,B,Unión libre,,158.14331001760814,4438.936162606775,2589.748853430492,694.705002522335,135.58765028754567
2024-07-13,M,Cali,,B,Soltero/a,50.0,170.12254647862716,3605.716694573855,,615.4296694943781,134.60715490253403
2024-07-14,M,Medellín,Universitario,,Soltero/a,56.0,178.0005780565138,5699.031450306994,2996.845920252513,,137.34784664419715
2024-07-15,F,Medellín,Secundaria,A,,62.0,178.97525217369272,3082.414020595801,,,135.5959523084821
2024-07-16,F,Barranquilla,Técnico,B,Casado/a,60.0,171.02147381873758,5281.836216989091,2923.793646174234,714.9925210567254,127.75331075625031
2024-07-17,M,Cartagena,Técnico,B,,29.0,166.86973351356787,2124.2206140231815,1109.573445866789,714.5712549872502,137.5295105168563
2024-07-18,F,Bogotá,Secundaria,,Soltero/a,64.0,172.88623276787933,6649.8724249185325,3109.7847274336723,,135.07773374709836
2024-07-19,F,,Universitario,B,Soltero/a,25.0,179.14414592366268,2874.732157891568,1648.5727886915354,,139.74202389011143
2024-07-20,M,Medellín,Universitario,B,Soltero/a,33.0,169.58685700740415,3014.51271583506,1635.8933459023988,,122.23953320026209
2024-07-21,,Cali,Posgrado,A,,43.0,161.14675254690127,4539.7563519073665,1856.1008159203377,,117.47999720169584
2024-07-22,M,Medellín,Secundaria,B,,19.0,160.60451306311327,3399.614892639098,1438.1903111523873,,124.57115320098688
2024-07-23,M,Bogotá,Posgrado,B,Unión libre,39.0,161.09535192230464,3558.3964813183816,2138.7382785629325,531.9707819260075,126.98143872567933
2024-07-24,F,Bogotá,Universitario,C,Soltero/a,26.0,153.26377579629792,1458.114627779534,,598.5843159258317,125.81964920927145
2024-07-25,M,Bogotá,Secundaria,B,Casado/a,51.0,153.20270280300358,3834.590566908595,1500.9848284515926,,134.11255790806774
2024-07-26,M,Bogotá,Universitario,B,Soltero/a,67.0,163.164352450739,4224.939208864494,,565.257707964569,127.15884629325339
2024-07-27,F,Cali,Secundaria,B,Divorciado/a,60.0,160.616822673503,5799.987553253968,2956.987894683975,533.6081747259356,128.664174408869
2024-07-28,M,Bogotá,Técnico,B,Soltero/a,47.0,167.2664338750246,3501.641870723024,,669.8243736759624,133.20686210580212
2024-07-29,M,Bogotá,Universitario,A,Soltero/a,29.0,174.13627995835782,,1193.2793164204265,,131.00760959504413
2024-07-30,M,Bogotá,Secundaria,A,Casado/a,55.0,170.9153223232791,4869.302656586739,2588.354604569214,,140.1407649269886
2024-07-31,F,,Técnico,,Casado/a,31.0,164.192108307443,4149.681050967342,,583.5618274684016,142.71516978474128
2024-08-01,F,Cali,Secundaria,A,Soltero/a,35.0,148.1638756124557,4211.333104912334,,,142.27490970757995
2024-08-02,F,Medellín,,B,Casado/a,60.0,170.44493748452476,3974.0725641931012,1501.9167797009545,789.5681224069954,155.12920145330406
2024-08-03,F,Barranquilla,Posgrado,B,,48.0,180.01885095358935,4059.8070387727275,1505.7431821643186,,155.36322300884618
2024-08-04,F,Cali,Posgrado,A,Unión libre,63.0,177.18527910514163,4766.256915036902,,,
2024-08-05,F,Medellín,Posgrado,B,,52.0,,3968.6879111521084,1872.1060804788801,581.963756213897,154.27808027120406
2024-08-06,M,Medellín,Técnico,B,,55.0,149.78468948715886,,2095.183358376149,,140.32519987065064
2024-08-07,F,Barranquilla,Posgrado,,,55.0,169.92182012467057,4366.43483614222,1995.7320708245547,,149.02753856142917
